  ,State,Union,Federation,AFL-CIO,NEA,Legal Collective Bargaining,Districts Obligated to Bargain,Legal Strikes,Wage Bargaining Permissible,Fringe Benefit Bargaining Permissible,Union May Use School Mail Service,Bulletin Board Reserved for Union Use,Union May Use School Buildings,Union Access to CCTV,Union Has Weekly Time Allocation on Radio License Held by the District,Webinar Created to Explain the Terms of the CBA,Dues Deducted From Paychecks,Union Access to Information for CBA Enforcement,Teacher Lunch Period,Teacher Preparation Time,Teaching Equipment Provided,Funds for Teacher Purchases of School Supplies,Funds for Property Loss,Right to Classrooms at an Appropriate Temperature,Space Reserved for a Teachers Lounge,Space Reserved for Teacher Bathrooms,Space Reserved for Teacher Work Room,Teacher Parking Provided,All Paid Vacancies Publicized to the Union and Teachers,Payment Differentials Account for Teaching Credentials,District Instructional Council,School Personnel Committee for Vacancies and Reduction in Staff,Faculty Senates of Teachers Adivse on School Operations,Shared Governance and Oversight Agreed Upon,Job Sharing Available,Teacher Mentor Program,Mentoring for Struggling Teachers,District Leadership Development,Defined Teacher Pay Schedules,Defined Yearly Cost-of-Living-Adjustments ,Military Service Credited on Pay Schedules,Defined Career Pathways,Promotions Account for Seniority,Layoffs Account for Seniority,Clearly Defined Teacher Evaluation Procedures,Union Representation on Demotions and Terminations,Defined Rules for Teacher Observation During Evaluations,Representation on Safe Working Conditions,Right of Return following Layoffs,Limits on Class Size,Limits on Students Taught per Day,Limits on Hours Per Day,Limits on Teacher Class Load,Compensation for Oversized Classes,Compensatory Time off for Overtime,Teachers Consulted on Changes in Assignment,Assault Leave,Bereavement Leave (1 Day or Greater),Bereavement Leave (2 Days or Greater),Bereavement Leave (3 Days or Greater),Bereavement Leave (4 Days or Greater),Bereavement Leave (5 Days or Greater),Bereavement Leave (10 Days or More),Additional Bereavement for Out-of-State Travel,Imminent Death of Family Leave,Court Leave,Personal Emergency Leave (1 Day or More),Personal Emergency Leave (1 Week or More),Personal Emergency Leave (10 Days or Greater),Workers' Compensation Leave,Religous Leave (1 Day or More),Religous Leave (2 Days or More),Religious Leave (3 Days or More),Religious Leave (4 Days or More),Personal Leave (1 Day or More),Personal Leave (2 Days or More),Personal Leave (3 Days or More),Personal Leave (4 Days or More),Personal Leave (5 Days or More),Personal Leave (6 Days or More),Personal Leave (7 Days or More),Professional Development Leave,Bank for Professional Development Leave,Sabbatical Leave (1 Semester or Greater),Sabbatical/ Leave of Absence Doesn't Impact Seniority,Sick Leave (One Week or Greater,Sick Leave (10 Days or Greater),Sick Leave (2 Weeks or Greater),Sick Leave (16 Days or Greater),Sick Leave (18 Days or Greater),Sick Leave (20 Days or Greater),Sick Leave Bank,Selling Sick Leave Days Allowed,Sick Leave Accumulation,Sick Leave Advance Available,Attendance Incentive in Accumulating Sick Leave,Military Leave,Paid Parental Leave (1 Month or Greater),Matrimony Leave,Political Leave,Citizenship Leave,Voting Leave,Notarizing Leave,Leave for Union Duties,Union Convention Leave,Health Insurance Program,Life Insurance Program,Dental Insurance Program,Vision Insurance,Mental Healthcare Insurance,Disability Insurance,Liability Insurance Program,Property Insurance,Health and Welfare Fund,District Benefits Board for Health Insurance Benefits,Compensation for Unused Sick Days,Early Retirement Incentive Program,Negotiated Grievance Policy,Agreement to Not Strike,Severence Pay After 10 Years,Automobile Mileage Reimbursement,Tuition Remimbursement on Continuing Education,Regular Meetings between Union and School Committee Leaders,Defined-Rules on Parent-Teacher Meetings,Teachers Not Required to Transport Students,Teachers Given Legal Representation in Liability Cases,Teachers Explicitly not Required to Reside In the District,Explicit Rules on Faculty Not Carrying Firearms,Union Given Time in New Employee Orientation,Employee Child-Care Program,Uniform Allowance for Required Employees,Montessori Training Program Tuition Reimbursement,Safety Training Time,Professional Development Advisory Committee,Professional Development Fund,Compensation Committee,Teacher Retention Committee,Affirmative Action Committee,Employees Shall Not Be Required to Search For Bombs,Breast Feeding Friendly Workplace Provision,Teaching Not Testing Policy,Intern Employment Rules,Provisions on the Payment of Non-Bargaining Employees,Committee on Educational and Racial Equity
Albuquerque,NM,Albuquerque Teachers Federation,NEA,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,AL,Anchorage Education Association,NEA,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurora,CO,Aurora Education Association,NEA,0,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore,MD,Baltimore Teachers Union,AFL-CIO,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston,MA,Boston Teachers Union AFT,AFL-CIO,1,0,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,NY,Buffalo Teachers Federation,NEA,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago,IL,Chicago Teachers Union,AFL-CIO,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,OH,Cincinnati Federation of Techers,AFL-CIO,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,OH,Cleaveland Teachers Union,AFL-CIO,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,OH,Columbus Education Association,NEA,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denver,CO,Denver Classroom Teachers Association,NEA,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Detroit,MI,Detroit Federation of Teachers,AFL-CIO,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Wayne,IN,Fort Wayne Education Association,NEA,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,CA,Fresno Teachers Associaiton,NEA,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hialeah,FL,United Teachers of Dade,AFL-CIO and NEA,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu,HI,Hawaii State Teachers Association,NEA,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indianapolis,IN,Indianapolis Education Association,NEA,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacksonville,FL,Duval Teachers United,AFL-CIO and NEA,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City,MO,Kansas City Federation of Teachers,AFL-CIO,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
